KIC	consensus	evol-1	evol-2	evol-3	evol-4	spectroscopic
2297785	RC/2CL	RC	RC	RC	2CL	RC(S)
2297793	RGB	RGB	RGB	RGB	RGB	UpperRGB
2297825	RC	RC	RC	RC	U	RC(S)
2300329	RGB	RGB	RGB	RGB	RGB	UpperRGB
2300503	RGB	RGB	RGB	RGB	RGB	UpperRGB
2301349	RGB	RGB	RGB	U	RGB	RGB(S)
2303101	RGB	RGB	RGB	RGB	RGB	RGB(S)
2303200	RGB	RGB	RGB	RGB	RGB	RGB(S)
2303367	RC	RC	RC	U	RC	RC(S)
2303414	RGB	RGB	RC	RGB	RGB	RGB(S)
2304104	RC	RC	RC	RC	RC	RC(S)
2304765	RGB/AGB	RGB	RGB	AGB	RGB	UpperRGB
2305145	2CL	RC	RC	2CL	2CL	RC(S)
2305407	RGB	RGB	RC	RGB	RGB	RGB(S)
2305479	RGB	RGB	RC	RGB	RGB	RGB(S)
2305590	RGB	RGB	RGB	RGB	RGB	RGB(S)
2305930	RC	U	RGB	RC	RC	RGB(S)
2305987	RGB	RGB	RC	RGB	RGB	RGB(S)
2305992	RGB	RGB	RGB	RGB	RGB	RGB(S)
2306481	RC	RC	RC	RC	RC	RC(S)
2307683	RGB	RGB	RGB	RGB	RC	RGB(S)
2308429	U	RGB	RGB	RGB	U	RGB(S)
2309469	RC	RC	RC	RC	RGB	RC(S)
2309524	RGB	RGB	RGB	RGB	RGB	UpperRGB
2309550	RC/2CL	RC	RC	2CL	RC	RC(S)
2310129	RC/2CL	RC	RC	2CL	RC	RC(S)
2422073	RGB	RGB	RGB	RGB	U	RGB(S)
2422558	RGB	RGB	RC	U	RGB	RGB(S)
2422635	RGB	U	RGB	RGB	RGB	RGB(S)
2423153	RGB	RGB	RGB	RGB	U	RGB(S)
2423824	RGB/AGB	check	RC	AGB	RGB	RGB(S)
2423932	RGB	RGB	RGB	RGB	RGB	UpperRGB
2424822	RGB	U	RGB	RGB	RGB	RGB(S)
2424934	RC	RC	RC	RC	RC	RC(S)
2424955	RGB	RGB	RGB	RGB	RGB	RGB(S)
2425631	RGB	RGB	RGB	RGB	RGB	RGB(S)
2435987	RGB	RGB	RGB	RGB	U	RGB(S)
2436209	RGB	RGB	RGB	RGB	RGB	RGB(S)
2436417	RC	RC	RC	RC	RC	RC(S)
2436688	RGB	RGB	RGB	RGB	RGB	RGB(S)
2436900	RGB	RGB	RGB	RGB	U	RGB(S)
2437040	RGB	RGB	RGB	RGB	RGB	RGB(S)
2437191	RGB	RGB	RC	RGB	RGB	RGB(S)
2437340	RGB	RGB	RGB	RGB	RGB	UpperRGB
2437353	RC	RC	RC	RC	RC	RC(S)
2437496	RGB/AGB	RGB	RGB	AGB	RGB	UpperRGB
2437507	RGB	RGB	RGB	RGB	RGB	RGB(S)
2437564	RC	RC	RC	RC	RC	RC(S)
2437692	RC	RC	RC	RC	RC	RC(S)
2437804	RC	RC	RC	RC	RC	RC(S)
2437816	RGB	RGB	RGB	RGB	RGB	RGB(S)
2437965	RGB/AGB	RGB	RGB	AGB	RGB	UpperRGB
2438051	RC	RC	RC	RC	RC	RC(S)
2438333	RGB	RGB	RGB	RGB	RGB	RGB(S)
2438368	2CL	RC	?	2CL	2CL	RC(S)
2439233	RGB	RGB	RGB	RGB	RGB	UpperRGB
2441995	RC	RC	RC	RC	RC	RC(S)
2442483	RGB	RGB	RGB	RGB	RGB	RGB(S)
2442559	RC	RC	RC	RC	RC	RC(S)
2443573	RGB	RGB	RGB	RGB	U	RGB(S)
2443903	RGB	RGB	RGB	RGB	RGB	RGB(S)
2444062	2CL	U	RC	2CL	2CL	RC(S)
2444348	RGB	RGB	RGB	RGB	RGB	RGB(S)
2444790	RGB/AGB	U	RGB	AGB	RGB	RGB(S)
2445426	RGB	U	RGB	RGB	RGB	RGB(S)
2446327	RGB	RGB	RGB	RGB	RGB	RGB(S)
2447046	RGB	RGB	RGB	RGB	RGB	RGB(S)
2447476	RGB	RGB	RC	RGB	RGB	RGB(S)
2447529	2CL	RC	RC	2CL	2CL	RGB(S)
2447604	2CL	RC	RC	2CL	2CL	RC(S)
2448225	RC	RC	RC	RC	RC	RC(S)
2448679	RC	RC	RC	RC	RC	RC(S)
2449020	2CL	RC	RC	2CL	2CL	RC(S)
2449327	RC	RC	RC	RGB	RC	RC(S)
2449518	2CL	RC	RC	2CL	2CL	RC(S)
2449558	RGB	check	RGB	RGB	RGB	RC(S)
2449703	RC	RC	RC	RC	RC	RC(S)
2451509	RGB	RGB	RGB	RGB	RGB	RGB(S)
2554924	RC	RC	RC	RC	RC	RC(S)
2556252	RGB/AGB	RGB	RGB	AGB	RGB	UpperRGB
2556640	RC	RC	RC	RC	U	RC(S)
2557942	RC	RC	RC	RC	RC	RC(S)
2558794	RC	RC	RC	RC	RC	RC(S)
2568563	RC/2CL	RC	RC	2CL	RC	RGB(S)
2568654	RGB/AGB	RGB	RGB	AGB	RGB	UpperRGB
2568888	U	U	RGB	U	RGB	UpperRGB
2568912	RGB	RGB	RGB	RGB	RGB	RGB(S)
2569055	RC	RC	RC	RC	U	RC(S)
2569078	RGB	RGB	RGB	RGB	RGB	RGB(S)
2569137	RGB/AGB	RGB	RGB	AGB	RGB	UpperRGB
2569360	RGB	RGB	RGB	RGB	RGB	RGB(S)
2569618	RGB	RGB	RGB	RGB	RGB	RGB(S)
2569639	U	RGB	?	U	U	DWARF
2569935	RGB	RGB	RGB	U	RGB	UpperRGB
2569945	RC	RC	RC	RC	RC	RC(S)
2570172	RGB	RGB	RGB	RGB	RGB	RGB(S)
2570214	RC	RC	RC	RC	RC	RGB(S)
2570384	U	RGB	RC	U	U	RGB(S)
2570715	RC	RC	RGB	RC	U	RC(S)
2572089	RC/2CL	RC	RC	RC	2CL	RC(S)
2573092	RC	RC	RGB	U	RC	RC(S)
2575024	RC	RC	RC	RC	RC	RC(S)
2576417	RGB	RGB	RGB	RGB	RGB	RGB(S)
2578198	RGB	RGB	RGB	RGB	RGB	RGB(S)
2578581	RGB	RGB	RGB	RGB	RGB	RGB(S)
2579142	RGB/AGB	RGB	RGB	AGB	RGB	UpperRGB
2579661	RGB	RGB	RGB	RGB	RGB	RGB(S)
2580691	RGB	RGB	RGB	RGB	RGB	RGB(S)
2581533	RGB	RGB	RC	RGB	RGB	RGB(S)
2583386	RGB	RGB	RC	RGB	RGB	RGB(S)
2583884	RC/2CL	RC	RC	2CL	RGB	RC(S)
2584477	RGB	RGB	RC	RGB	RGB	RGB(S)
2584478	RGB	RGB	RGB	RGB	RGB	RGB(S)
2693261	RC/U	U	RC	RC	U	RC(S)
2693967	2CL	RC	RC	2CL	2CL	RC(S)
2695267	RC	RC	RC	RC	RC	RC(S)
2695975	RGB	RGB	RGB	RGB	RGB	UpperRGB
2696115	RGB/AGB	RGB	RGB	AGB	RGB	RC(S)
2696628	RGB	RGB	RGB	RGB	RGB	UpperRGB
2696732	RGB	RGB	RGB	RGB	RGB	RGB(S)
2696739	RGB	RGB	RGB	RGB	RGB	RGB(S)
2697082	RC	RC	RC	RC	RGB	RC(S)
2697501	RC/2CL	RC	RC	RC	2CL	RGB(S)
2709877	RGB/AGB	RGB	RGB	AGB	RGB	UpperRGB
2710002	RGB/AGB	RGB	RGB	AGB	RGB	UpperRGB
2710194	RGB	RGB	RGB	RGB	RGB	RGB(S)
2710472	RGB	RGB	RC	RGB	U	RGB(S)
2711432	RGB	U	RGB	RGB	RGB	UpperRGB
2711477	RGB	U	RC	RGB	RGB	RC(S)
2712761	RGB	RGB	RGB	RGB	RGB	RGB(S)
2713305	RGB	RGB	RGB	RGB	RGB	RGB(S)
2714090	RC/2CL	RC	RC	2CL	RC	RC(S)
2714397	RC	RC	RGB	RC	RC	RC(S)
2714785	RGB	RGB	RGB	RGB	RGB	RGB(S)
2716608	2CL	RC	RC	2CL	2CL	RC(S)
2719113	RC	RC	RC	RC	RC	RC(S)
2719795	RGB	RGB	RGB	RGB	RGB	RGB(S)
2720096	RGB	U	RC	RGB	RGB	RC(S)
2720777	RGB	RGB	RC	RGB	RGB	RGB(S)
2831788	RGB	RGB	RGB	RGB	RGB	RGB(S)
2831815	RGB	RGB	RGB	RGB	RGB	RGB(S)
2832426	RGB	RGB	RGB	RGB	U	RGB(S)
2834230	2CL/U	U	RC	2CL	U	RC(S)
2835067	RGB	RGB	RGB	RGB	RGB	RGB(S)
2835283	RGB	RGB	RGB	RGB	RGB	RGB(S)
2835657	RGB	RGB	RGB	RGB	RGB	RGB(S)
2835720	RGB	RGB	RGB	RGB	RGB	RGB(S)
2836038	RC	RC	RC	RC	RC	RC(S)
2837276	RGB	RGB	RGB	RGB	RGB	RGB(S)
2845408	U	RC	RC	U	U	RC(S)
2846051	RGB	RGB	RGB	RGB	RGB	UpperRGB
2846659	RGB	RGB	RGB	RGB	RGB	RGB(S)
2846944	RGB/AGB	RGB	RGB	AGB	RGB	UpperRGB
2847114	RGB/AGB	RGB	RGB	AGB	RGB	UpperRGB
2847821	RC	RC	RGB	RC	RC	RC(S)
2847978	RGB/AGB	U	RGB	AGB	RGB	UpperRGB
2848887	RGB	RGB	RC	RGB	U	RGB(S)
2849476	RGB	RGB	RGB	RGB	RGB	RGB(S)
2850010	RGB	RGB	RGB	RGB	RGB	RGB(S)
2850480	RGB	RGB	RGB	RGB	RGB	RGB(S)
2854297	RC	RC	RC	RC	RC	RC(S)
2856328	RGB	RGB	RC	RGB	RGB	RGB(S)
2856795	2CL	RC	RC	RGB	2CL	RC(S)
2858440	RC	RC	RC	RC	RC	RC(S)
2860010	2CL	RC	RC	2CL	2CL	RC(S)
2860746	RGB	RGB	RGB	RGB	RGB	UpperRGB
2970396	RC	RC	RC	RC	RC	RC(S)
2970584	RGB	RGB	RGB	RGB	RGB	RGB(S)
2971432	RGB	RGB	RGB	RGB	RGB	RGB(S)
2972545	RGB	RGB	RGB	RGB	RGB	RGB(S)
2972876	U	RGB	RC	2CL	RGB	RGB(S)
2973238	U	RGB	RGB	2CL	U	RGB(S)
2973894	RC	check	RGB	RC	RC	RC(S)
2975717	RGB	RGB	RGB	RGB	U	RGB(S)
2984102	2CL	U	RC	2CL	2CL	RC(S)
2984382	RGB	RGB	RGB	RGB	RGB	RGB(S)
2987113	RC	RC	RC	RC	RC	RC(S)
2988295	RGB	RGB	RGB	RGB	RGB	RGB(S)
2988638	2CL	RC	RC	2CL	2CL	RC(S)
2988988	RC	RC	RC	RC	RC	RGB(S)
2990932	RGB	RGB	RGB	RGB	RGB	RGB(S)
2992350	RC	RC	RC	RC	RC	RC(S)
2993958	RC	RC	RC	RC	RC	RC(S)
2994493	RGB	RGB	RGB	RGB	RGB	UpperRGB
2995130	U	U	RC	RGB	U	RC(S)
2995197	RGB	RGB	RGB	RGB	RGB	UpperRGB
2995753	RGB	RGB	RGB	RGB	RGB	RGB(S)
2996019	RC	RC	RC	RC	RC	RC(S)
2996112	RC	RC	RC	RC	RC	RC(S)
2998532	RGB	RGB	RGB	RGB	RGB	RGB(S)
3096473	RGB	RGB	RGB	RGB	U	RGB(S)
3098045	RC	RC	RC	RC	RC	RC(S)
3098179	RGB	RGB	RGB	RGB	RGB	RGB(S)
3098716	RC	RC	RC	RC	RC	RC(S)
3099834	RGB	RGB	RGB	RGB	RGB	RGB(S)
3099949	RC	RC	RC	RC	RC	RC(S)
3100053	RC	RC	RC	RC	RC	RC(S)
3100193	RGB	RGB	?	RGB	U	RGB(S)
3100505	RGB	RGB	RGB	RGB	U	RGB(S)
3101090	RC	RC	RC	RC	RC	RC(S)
3101632	RC	RC	RC	RC	RC	RC(S)
3102230	U	U	?	U	U	RC(S)
3102386	RGB	RGB	RGB	RGB	RGB	RC(S)
3102411	RGB	RGB	RGB	RGB	RGB	RGB(S)
3102479	RC	RC	RC	RC	RC	RC(S)
3103320	RGB	RGB	RGB	RGB	RGB	UpperRGB
3103685	RGB	RGB	RGB	RGB	RGB	UpperRGB
3103827	RGB	RGB	RGB	RGB	RGB	RGB(S)
3109520	RGB	RGB	RGB	RGB	RGB	RGB(S)
3110460	RGB	RGB	RGB	RGB	RGB	UpperRGB
3110626	RGB	RGB	RGB	RGB	RGB	RGB(S)
3110733	RGB	RGB	RC	RGB	RGB	RGB(S)
3111383	RGB	RGB	RGB	RGB	U	RGB(S)
3111815	RGB	RGB	RC	RGB	RGB	RGB(S)
3111831	RGB	RGB	RGB	RGB	RGB	RGB(S)
3112021	2CL/U	U	RC	2CL	U	RC(S)
3112182	RGB	RGB	RGB	RGB	RGB	RGB(S)
3113433	RGB	RGB	RGB	RGB	RGB	RGB(S)
3113648	RGB	RGB	RGB	RGB	RGB	RGB(S)
3113818	RGB	RGB	RGB	RGB	U	RGB(S)
3113915	RGB	RGB	RGB	RGB	RGB	RGB(S)
3114215	RGB	RGB	RGB	RGB	RGB	RGB(S)
3114408	RGB	RGB	RGB	RGB	U	RGB(S)
3115946	RGB	U	RC	RGB	RGB	RGB(S)
3116604	2CL	RC	RC	2CL	2CL	RC(S)
3118806	RGB/AGB	check	RC	AGB	RGB	RC(S)
3119526	RC	RC	RC	RC	RC	RC(S)
3119555	RGB	RGB	RC	RGB	RGB	RGB(S)
3120486	RGB	RGB	RC	RGB	RGB	RGB(S)
3120585	RGB/U	U	RGB	RGB	U	RGB(S)
3120889	RGB	RGB	RGB	U	RGB	UpperRGB
3121427	RGB	RGB	RGB	RGB	RGB	RGB(S)
3121940	RC	RC	RC	RC	RC	RC(S)
3122185	2CL	RC	RC	2CL	2CL	RC(S)
3122548	RC	RC	RC	RC	RC	RC(S)
3123653	RGB	RGB	RGB	RGB	RGB	RGB(S)
3128866	2CL	RC	RC	2CL	2CL	RC(S)
3129312	RGB	RGB	RGB	RGB	RGB	RGB(S)
3130335	RGB	RGB	RGB	RGB	RGB	RGB(S)
3215565	RC	RC	RC	RC	RC	RC(S)
3215881	U	?	?	U	U	RGB(S)
3216467	RC	RC	RC	RC	U	RC(S)
3216638	RGB	RGB	RGB	RGB	RGB	UpperRGB
3216716	RGB	RGB	RGB	RGB	RGB	RGB(S)
3217051	RC	RC	RC	RC	RC	RC(S)
3218312	RGB	RGB	RGB	RGB	RGB	RGB(S)
3218930	RGB	RGB	RC	RGB	RGB	RGB(S)
3219744	RGB	RGB	RGB	RGB	RGB	RGB(S)
3220837	RGB	RGB	RGB	RGB	U	RGB(S)
3221086	RGB	RGB	RGB	RGB	RGB	RGB(S)
3221239	RGB	RGB	RC	RGB	RGB	RGB(S)
3222220	RC	RC	RC	RC	RC	RC(S)
3222240	RGB	RGB	RGB	RGB	U	RGB(S)
3222519	RGB	RGB	RGB	RGB	RGB	UpperRGB
3222670	RC	RC	RC	RC	RC	RC(S)
3222740	RGB	RGB	RC	RGB	RGB	RGB(S)
3222834	RGB	RGB	RGB	RGB	RGB	RGB(S)
3230719	RGB	RGB	RC	RGB	RGB	RGB(S)
3231208	U	RC	RC	RGB	RGB	RC(S)
3231503	RC/2CL	RC	RC	RC	2CL	RC(S)
3232813	RC	RC	RC	RC	RC	RC(S)
3232838	RC	RC	RC	RC	RC	RC(S)
3234655	RC	RC	RC	RC	RC	RC(S)
3234666	RGB	RGB	RGB	RGB	U	RGB(S)
3234703	2CL	RC	RC	2CL	2CL	RC(S)
3235616	2CL	RC	RC	2CL	2CL	RC(S)
3236108	RC	RC	RGB	RC	RC	RC(S)
3236379	RGB	RGB	RC	RGB	RGB	RGB(S)
3236748	RGB/AGB	RGB	RGB	AGB	RGB	UpperRGB
3237572	RGB	RGB	RGB	RGB	U	RGB(S)
3238303	RGB	RGB	RGB	RGB	RGB	RGB(S)
3238626	U	RC	RC	RGB	RGB	RC(S)
3238859	RC/2CL	RC	RC	2CL	RC	RC(S)
3238956	RGB	RGB	RGB	RGB	RGB	RGB(S)
3239258	RGB	RGB	RGB	RGB	RGB	UpperRGB
3240119	RGB	U	RC	RGB	RGB	RGB(S)
3240670	RGB	RGB	RGB	RGB	RGB	RGB(S)
3241374	RC	RC	RC	RC	RC	RC(S)
3241947	RGB	RGB	RC	RGB	RGB	RGB(S)
3242122	RC	RC	RC	RC	RC	RC(S)
3242233	RGB/AGB	U	RC	AGB	RGB	RGB(S)
3247334	RGB	RGB	RGB	RGB	RGB	RGB(S)
3247570	RGB	RGB	RGB	RGB	U	RGB(S)
3248697	RGB	RGB	RGB	U	RGB	RGB(S)
3248982	RGB	RGB	RGB	RGB	RGB	RGB(S)
3323401	RC	RC	RC	RC	RC	RC(S)
3323943	RC	RC	RC	RC	U	RC(S)
3325179	RGB	RGB	RC	RGB	RGB	RGB(S)
3326233	RGB	RGB	RGB	RGB	RGB	RGB(S)
3326392	RGB	RGB	RGB	RGB	RGB	RGB(S)
3326790	RC	RC	RC	RC	RC	RC(S)
3329196	U	?	?	U	U	RGB(S)
3336731	RC	RC	RC	RC	RC	RC(S)
3337536	RGB	check	RGB	RGB	RGB	RGB(S)
3337581	RC	RC	RC	RC	RC	RC(S)
3337740	RGB	RGB	RGB	RGB	RGB	RGB(S)
3338252	RGB	RGB	RGB	RGB	RGB	RGB(S)
3339519	RGB	RGB	RGB	RGB	RGB	RGB(S)
3339894	U	RGB	RGB	RC	U	RGB(S)
3341498	U	U	RC	U	U	RC(S)
3342658	RC	RC	RC	RC	RC	RC(S)
3343186	U	RC	RC	AGB	RGB	RC(S)
3343621	RGB	RGB	RGB	RGB	RGB	RGB(S)
3343630	RGB	RGB	RGB	RGB	RGB	RGB(S)
3343931	RGB	U	RC	RGB	RGB	RGB(S)
3346227	RGB	RGB	RGB	RGB	RGB	RGB(S)
3346398	RC	U	RC	RC	RC	RC(S)
3346501	RGB	RGB	RGB	RGB	RGB	UpperRGB
3346779	RGB	RGB	RGB	RGB	RGB	UpperRGB
3347054	RGB	RGB	RGB	RGB	RGB	RGB(S)
3347146	RGB	RGB	RGB	RGB	RGB	UpperRGB
3348070	RGB	RGB	RGB	RGB	RGB	RGB(S)
3348134	RC	RC	RC	RC	RC	RC(S)
3355015	RC	RC	RC	RC	RC	RGB(S)
3356438	RC/2CL	RC	RC	2CL	U	RC(S)
3356643	RGB	RGB	RGB	RGB	RGB	RGB(S)
3424072	RGB	RGB	RGB	RGB	U	RGB(S)
3424105	RGB	RGB	RGB	RGB	RGB	RGB(S)
3424384	RC	RC	RGB	RC	RC	RGB(S)
3425044	RGB	RGB	RGB	RGB	RGB	RGB(S)
3425217	RGB	RGB	RGB	RGB	RGB	RGB(S)
3425476	RC	RC	RC	RC	RC	RC(S)
3425675	RC	RC	RC	RGB	RC	RC(S)
3426673	RGB	RGB	RC	RGB	RGB	RGB(S)
3426898	RGB	RGB	RGB	RGB	RGB	RGB(S)
3427629	RC	RC	RC	RC	RC	RC(S)
3427850	RC	RC	RC	RC	U	RC(S)
3428447	U	U	RGB	U	RGB	RGB(S)
3428530	RGB	RGB	RGB	RGB	RGB	RGB(S)
3429018	U	U	RGB	U	U	RGB(S)
3429176	RGB	RGB	RGB	RGB	RGB	RGB(S)
3429205	U	?	?	RGB	U	RGB(S)
3429364	RGB	RGB	RGB	RGB	RGB	RGB(S)
3429738	RGB	RGB	RGB	RGB	RGB	RGB(S)
3430048	RC	RC	RC	RC	U	RC(S)
3430379	U	U	RGB	U	U	RGB(S)
3431022	RC	RC	RC	RC	RC	RC(S)
3431244	RC/U	U	RC	RC	U	RC(S)
3432732	U	RGB	RC	2CL	U	RC(S)
3432802	RGB	RGB	RGB	RGB	RGB	RGB(S)
3437742	RGB	RGB	RGB	RC	RGB	RC(S)
3438609	2CL	RC	RC	2CL	2CL	RC(S)
3438740	U	RGB	RGB	U	U	UpperRGB
3439353	RGB	RGB	RGB	RGB	RGB	RGB(S)
3439356	RGB	U	RC	RGB	RGB	RGB(S)
3439466	RC	check	RC	RC	RC	RC(S)
3440249	RGB	RGB	RGB	RGB	RGB	RGB(S)
3441184	RGB	RGB	RGB	RGB	RGB	RGB(S)
3441207	RGB	RGB	RGB	RGB	RGB	RGB(S)
3441473	RGB	RGB	RGB	RGB	RGB	RGB(S)
3443483	RGB	RGB	RGB	RGB	RGB	RGB(S)
3444029	RGB	RGB	RC	RGB	RGB	RGB(S)
3444374	RGB	RGB	RGB	RGB	RGB	RGB(S)
3445572	RC	RC	RC	RC	RC	RC(S)
3446775	U	RGB	?	RGB	U	RGB(S)
3448729	RC	RC	RC	RC	RC	RC(S)
3449870	RGB	U	RGB	RGB	RGB	RGB(S)
3449907	RGB	RGB	RC	RGB	RGB	RGB(S)
3453419	RC	RC	RC	RC	RC	RC(S)
3454626	RGB	RGB	RGB	RGB	RGB	RGB(S)
3455146	RC/2CL	RC	RC	2CL	RC	RC(S)
3455760	RGB	RGB	RGB	RGB	U	RGB(S)
3455843	RC	RC	RC	RC	RGB	RC(S)
3456313	U	U	RGB	RGB	2CL	RC(S)
3456449	RC/2CL	RC	RC	2CL	RC	RC(S)
3457434	RC	check	RC	RC	RC	RC(S)
3457618	RGB	RGB	RC	RGB	U	RGB(S)
3458097	RGB	RGB	RGB	RGB	RGB	RGB(S)
3458387	RGB	RGB	RGB	U	RGB	UpperRGB
3458643	U	U	RC	2CL	U	RC(S)
